empresas;valor;change;change2
NVIDIA Corporation;147.01;6.86;4.27
C3ai Inc.;32.96;6.42;12.83
Vertiv Holdings LLC;140.94;17.92;1.76
Lemonade Inc.;40.14;5.83;24.07
Powell Industries Inc.;312.40;23.39;0.47
Tonix Pharmaceuticals Holding C;0.1627;0.0297;4.48
Viking Therapeutics Inc.;51.51;2.40;5.10
Unity Software Inc.;19.80;1.81;6.95
Archer Aviation Inc.;5.13;0.72;17.90
AeroVironment Inc.;194.89;2.18;2.21
GameStop Corporation;27.57;4.89;1.47
Joby Aviation Inc.;6.33;24.19;5.61
Rockwell Automation Inc.;278.14;14.57;3.01
Destiny Tech100 Inc.;45.36;16.99;1.67
Keysight Technologies Inc.;152.13;8.09;161.68
Altimmune Inc.;7.47;22.33;9.0
Intuit Inc.;644.17;4.89;9.0
Nokia Corporation Sponsored;41.5;10.06;9.0
Digital Brands Group Inc.;0.1166;16.33;9.0
Snowflake Inc.;130.24;1.11;9.0
Bitcoin USD;92.0;272.05;9.0
Vistra Corp.;154.86;9.0;9.0
CrowdStrike Holdings Inc.;353.29;9.0;9.0
Workhorse Group Inc.;12.2;9.0;9.0
PainReform Ltd.;14.0;9.0;9.0
